epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,params,model_size_mb,synapse_count_proxy,sop_proxy
1,0.001,1.5114814190673829,0.45094,1.2302478555679321,0.5631,0.06005884664163961,1607.7611274999988,2175562,8.299110412597656,2175168,2090209.3013088312
2,0.001,1.180579147605896,0.5784,1.0322672815322875,0.6306,0.057865581371753246,1541.4752625000062,2175562,8.299110412597656,2175168,2013877.7744197403
3,0.001,1.038882157421112,0.6313,0.9041772630691528,0.6842,0.05783462700385552,1553.9020150000026,2175562,8.299110412597656,2175168,2012800.4792115584
4,0.001,0.9498274167251587,0.66474,0.8719806798934937,0.6939,0.05539872774198458,1424.9174025000116,2175562,8.299110412597656,2175168,1928024.6372012338
5,0.001,0.8885374023246765,0.68578,0.8192476915359497,0.7144,0.05655935248833198,1419.9208974999976,2175562,8.299110412597656,2175168,1968417.4981334414
6,0.001,0.8405828492355346,0.70418,0.784833362197876,0.7223,0.055974049500304386,1793.3953274999965,2175562,8.299110412597656,2175168,1948047.3808556495
7,0.001,0.800593883895874,0.71832,0.779423487520218,0.7243,0.05594886826552354,1446.6024149999953,2175562,8.299110412597656,2175168,1947171.0061981168
8,0.001,0.7627603251266479,0.73238,0.7340924732208252,0.7429,0.05655683061079545,1436.913505000041,2175562,8.299110412597656,2175168,1968329.7300163636
9,0.001,0.7379788149261475,0.74182,0.7393247978210449,0.7449,0.05712511896306818,1424.3287674999806,2175562,8.299110412597656,2175168,1988107.6922345455
10,0.001,0.7092117612838745,0.74942,0.7219320297241211,0.7489,0.056756611962256495,1579.7212800000011,2175562,8.299110412597656,2175168,1975282.6580594806
